industrial_aggregate_including_unclassified_businesses,industrial_aggregate_excluding_unclassified_businesses,goods_producing_industries,forestry_logging_and_support,mining_quarrying_and_oil_and_gas_extraction,utilities,construction,manufacturing,service_producing_industries,trade,transportation_and_warehousing,information_and_cultural_industries,finance_and_insurance,real_estate_and_rental_and_leasing,professional_scientific_and_technical_services,management_of_companies_and_enterprises,administrative_and_support_waste_management_and_remediation_,educational_services,health_care_and_social_assistance,arts_entertainment_and_recreation,accommodation_and_food_services,other_services_except_public_administration,public_administration,unclassified_businesses,date,month,geography,type_of_employee
0.0,10007884.0,2142269.0,25229.0,102331.0,51891.0,888365.0,1074453.0,7865615.0,1996516.0,443320.0,156391.0,184497.0,113063.0,331791.0,0.0,595531.0,60571.0,1893143.0,204913.0,1131888.0,325861.0,381740.0,0.0,2022-12-22,May 2022,Canada,Employees paid by the hour
0.0,10308173.0,2188566.0,28079.0,88347.0,53312.0,915916.0,1102913.0,8119606.0,2051671.0,469373.0,178722.0,175181.0,126604.0,342737.0,0.0,594823.0,62586.0,1901529.0,228636.0,1182992.0,340245.0,403646.0,0.0,2022-12-22,June 2022,Canada,Employees paid by the hour
0.0,10317205.0,2167061.0,33185.0,98149.0,57720.0,886474.0,1091533.0,8150144.0,2055602.0,454279.0,152262.0,166054.0,127440.0,332337.0,0.0,607977.0,63979.0,1897775.0,248564.0,1207855.0,367309.0,424988.0,0.0,2022-12-22,July 2022,Canada,Employees paid by the hour
0.0,10323261.0,2237505.0,34352.0,89223.0,69500.0,920635.0,1123794.0,8085756.0,2045785.0,451583.0,176212.0,170480.0,119884.0,326635.0,0.0,609029.0,58881.0,1905176.0,239833.0,1199298.0,349852.0,389395.0,0.0,2022-12-22,August 2022,Canada,Employees paid by the hour
0.0,10309095.0,2300251.0,30324.0,101090.0,80793.0,950165.0,1137879.0,8008844.0,2036713.0,467276.0,141276.0,136994.0,124293.0,342087.0,0.0,620265.0,59942.0,1905096.0,231181.0,1204240.0,356372.0,345036.0,0.0,2022-12-22,September 2022,Canada,Employees paid by the hour
0.0,10188281.0,2248671.0,27248.0,102152.0,80220.0,905863.0,1133187.0,7939610.0,2009288.0,480196.0,166494.0,136841.0,113147.0,330948.0,0.0,621679.0,64533.0,1893173.0,203149.0,1168407.0,355568.0,348993.0,0.0,2022-12-22,October 2022,Canada,Employees paid by the hour
0.0,70436.0,7530.0,0.0,0.0,0.0,3011.0,1307.0,62906.0,6374.0,3678.0,1168.0,6134.0,0.0,4292.0,0.0,1605.0,0.0,2413.0,0.0,772.0,1497.0,16059.0,0.0,2022-12-22,January 2022,Newfoundland and Labrador,Salaried employees paid a fixed salary
0.0,71462.0,7700.0,0.0,0.0,0.0,3133.0,0.0,63762.0,6610.0,3738.0,1192.0,5952.0,0.0,5119.0,0.0,1177.0,0.0,2452.0,0.0,652.0,1680.0,16342.0,0.0,2022-12-22,February 2022,Newfoundland and Labrador,Salaried employees paid a fixed salary
0.0,71532.0,7210.0,0.0,0.0,0.0,3309.0,0.0,64322.0,6707.0,3431.0,0.0,6314.0,0.0,5037.0,0.0,1211.0,0.0,2478.0,0.0,791.0,1724.0,16163.0,0.0,2022-12-22,March 2022,Newfoundland and Labrador,Salaried employees paid a fixed salary
0.0,76270.0,11717.0,0.0,0.0,0.0,3597.0,3818.0,64553.0,7026.0,3614.0,1114.0,6462.0,0.0,5435.0,0.0,1027.0,0.0,2579.0,0.0,0.0,1450.0,15966.0,0.0,2022-12-22,April 2022,Newfoundland and Labrador,Salaried employees paid a fixed salary
0.0,76065.0,11533.0,0.0,0.0,0.0,3160.0,5140.0,64532.0,7296.0,3270.0,1151.0,6460.0,0.0,5477.0,0.0,1194.0,0.0,2537.0,0.0,0.0,1449.0,16228.0,0.0,2022-12-22,May 2022,Newfoundland and Labrador,Salaried employees paid a fixed salary
0.0,81682.0,12536.0,0.0,0.0,0.0,2846.0,0.0,69146.0,7097.0,3225.0,3951.0,6707.0,0.0,5623.0,0.0,1403.0,0.0,2506.0,0.0,1095.0,1800.0,16543.0,0.0,2022-12-22,June 2022,Newfoundland and Labrador,Salaried employees paid a fixed salary
0.0,78471.0,11045.0,0.0,0.0,0.0,2860.0,3226.0,67426.0,9129.0,3059.0,1008.0,0.0,0.0,5565.0,0.0,1337.0,0.0,3438.0,0.0,1065.0,1356.0,16869.0,0.0,2022-12-22,July 2022,Newfoundland and Labrador,Salaried employees paid a fixed salary
0.0,75720.0,9736.0,0.0,0.0,0.0,2564.0,2451.0,65984.0,6715.0,3645.0,925.0,0.0,0.0,5546.0,0.0,1522.0,0.0,2991.0,0.0,1007.0,1705.0,17065.0,0.0,2022-12-22,August 2022,Newfoundland and Labrador,Salaried employees paid a fixed salary
0.0,76069.0,9392.0,0.0,0.0,0.0,2655.0,1760.0,66677.0,7348.0,3366.0,1289.0,7186.0,0.0,5442.0,0.0,1419.0,0.0,0.0,0.0,1306.0,1192.0,16806.0,0.0,2022-12-22,September 2022,Newfoundland and Labrador,Salaried employees paid a fixed salary
0.0,75634.0,9335.0,0.0,0.0,0.0,3255.0,1995.0,66299.0,6178.0,3474.0,1012.0,6656.0,0.0,5739.0,0.0,1309.0,0.0,0.0,0.0,907.0,1264.0,17051.0,0.0,2022-12-22,October 2022,Newfoundland and Labrador,Salaried employees paid a fixed salary
0.0,116450.0,18575.0,0.0,0.0,0.0,8497.0,4963.0,97875.0,28131.0,3800.0,3448.0,1158.0,0.0,2973.0,0.0,3909.0,0.0,31670.0,0.0,11626.0,3591.0,4569.0,0.0,2022-12-22,January 2022,Newfoundland and Labrador,Employees paid by the hour
0.0,115732.0,18347.0,0.0,0.0,0.0,8663.0,0.0,97385.0,27042.0,3913.0,3479.0,1301.0,0.0,2434.0,0.0,4257.0,0.0,31749.0,0.0,12239.0,3384.0,4363.0,0.0,2022-12-22,February 2022,Newfoundland and Labrador,Employees paid by the hour
0.0,118902.0,20148.0,0.0,0.0,0.0,9084.0,0.0,98754.0,26839.0,4380.0,0.0,1011.0,0.0,2592.0,0.0,4169.0,0.0,31752.0,0.0,12776.0,3584.0,4721.0,0.0,2022-12-22,March 2022,Newfoundland and Labrador,Employees paid by the hour
0.0,123163.0,22376.0,0.0,0.0,0.0,9598.0,8989.0,100788.0,27658.0,4815.0,3547.0,906.0,0.0,2371.0,0.0,4745.0,0.0,31374.0,0.0,0.0,3863.0,4592.0,0.0,2022-12-22,April 2022,Newfoundland and Labrador,Employees paid by the hour
0.0,131236.0,27067.0,0.0,0.0,0.0,10658.0,11272.0,104169.0,28305.0,5291.0,3512.0,775.0,0.0,2853.0,0.0,4693.0,0.0,32628.0,0.0,0.0,3929.0,4540.0,0.0,2022-12-22,May 2022,Newfoundland and Labrador,Employees paid by the hour
0.0,135382.0,29211.0,0.0,0.0,0.0,12295.0,0.0,106171.0,29262.0,5690.0,751.0,943.0,0.0,2993.0,0.0,5070.0,0.0,33257.0,0.0,15366.0,4101.0,4896.0,0.0,2022-12-22,June 2022,Newfoundland and Labrador,Employees paid by the hour
0.0,135592.0,27759.0,0.0,0.0,0.0,12595.0,11107.0,107834.0,27664.0,6128.0,2527.0,0.0,0.0,2798.0,0.0,5234.0,0.0,32077.0,0.0,16209.0,4949.0,5478.0,0.0,2022-12-22,July 2022,Newfoundland and Labrador,Employees paid by the hour
0.0,135975.0,27329.0,0.0,0.0,0.0,12807.0,10477.0,108646.0,29364.0,5044.0,3726.0,0.0,0.0,3063.0,0.0,5057.0,0.0,32176.0,0.0,16012.0,4567.0,5247.0,0.0,2022-12-22,August 2022,Newfoundland and Labrador,Employees paid by the hour
0.0,131914.0,24769.0,0.0,0.0,0.0,13111.0,7943.0,107145.0,28291.0,5909.0,3386.0,290.0,0.0,3056.0,0.0,5170.0,0.0,0.0,0.0,15612.0,4690.0,4607.0,0.0,2022-12-22,September 2022,Newfoundland and Labrador,Employees paid by the hour
0.0,129621.0,23373.0,0.0,0.0,0.0,12232.0,7045.0,106248.0,28714.0,5748.0,3665.0,692.0,0.0,2611.0,0.0,5309.0,0.0,0.0,0.0,15131.0,4386.0,4208.0,0.0,2022-12-22,October 2022,Newfoundland and Labrador,Employees paid by the hour
0.0,25812.0,2107.0,0.0,0.0,0.0,394.0,1468.0,23705.0,1978.0,881.0,0.0,1415.0,352.0,0.0,0.0,725.0,0.0,0.0,0.0,353.0,0.0,8613.0,0.0,2022-12-22,January 2022,Prince Edward Island,Salaried employees paid a fixed salary
0.0,26511.0,2270.0,0.0,0.0,0.0,0.0,1585.0,24241.0,1827.0,886.0,0.0,1558.0,0.0,1923.0,0.0,779.0,0.0,0.0,0.0,291.0,0.0,8505.0,0.0,2022-12-22,February 2022,Prince Edward Island,Salaried employees paid a fixed salary
0.0,26645.0,2272.0,0.0,0.0,0.0,395.0,1690.0,24374.0,2065.0,1015.0,0.0,0.0,411.0,0.0,0.0,826.0,0.0,0.0,0.0,312.0,0.0,8701.0,0.0,2022-12-22,March 2022,Prince Edward Island,Salaried employees paid a fixed salary
0.0,26787.0,2398.0,0.0,0.0,0.0,364.0,1823.0,24388.0,2408.0,0.0,0.0,1442.0,0.0,1721.0,0.0,999.0,0.0,0.0,0.0,319.0,0.0,8535.0,0.0,2022-12-22,April 2022,Prince Edward Island,Salaried employees paid a fixed salary
0.0,28226.0,2828.0,0.0,0.0,0.0,397.0,2292.0,25398.0,3178.0,0.0,0.0,1285.0,0.0,2105.0,0.0,816.0,0.0,0.0,0.0,327.0,0.0,8836.0,0.0,2022-12-22,May 2022,Prince Edward Island,Salaried employees paid a fixed salary
0.0,27889.0,1994.0,0.0,0.0,0.0,357.0,1549.0,25895.0,3698.0,745.0,0.0,1564.0,0.0,1777.0,0.0,893.0,0.0,0.0,0.0,381.0,0.0,9234.0,0.0,2022-12-22,June 2022,Prince Edward Island,Salaried employees paid a fixed salary
0.0,25060.0,2181.0,0.0,0.0,0.0,300.0,1741.0,22878.0,3071.0,847.0,0.0,1510.0,0.0,1711.0,0.0,875.0,0.0,0.0,0.0,396.0,0.0,9415.0,0.0,2022-12-22,July 2022,Prince Edward Island,Salaried employees paid a fixed salary
0.0,24034.0,2566.0,0.0,0.0,0.0,0.0,2107.0,21467.0,2752.0,1049.0,0.0,1503.0,0.0,1891.0,0.0,896.0,0.0,0.0,0.0,399.0,0.0,9444.0,0.0,2022-12-22,August 2022,Prince Edward Island,Salaried employees paid a fixed salary
0.0,26086.0,2036.0,0.0,0.0,0.0,0.0,1453.0,24050.0,2713.0,885.0,0.0,1515.0,0.0,0.0,0.0,811.0,0.0,0.0,0.0,460.0,0.0,9491.0,0.0,2022-12-22,September 2022,Prince Edward Island,Salaried employees paid a fixed salary
0.0,27080.0,2460.0,0.0,0.0,0.0,398.0,1989.0,24620.0,2496.0,935.0,0.0,1574.0,0.0,1872.0,0.0,784.0,0.0,0.0,0.0,487.0,0.0,9566.0,0.0,2022-12-22,October 2022,Prince Edward Island,Salaried employees paid a fixed salary
0.0,37166.0,6747.0,0.0,0.0,0.0,3225.0,3278.0,30419.0,8332.0,1007.0,0.0,274.0,276.0,0.0,0.0,4000.0,0.0,0.0,0.0,4235.0,0.0,734.0,0.0,2022-12-22,January 2022,Prince Edward Island,Employees paid by the hour
0.0,36856.0,6412.0,0.0,0.0,0.0,0.0,3096.0,30444.0,8328.0,910.0,0.0,212.0,0.0,645.0,0.0,4172.0,0.0,0.0,0.0,4473.0,0.0,791.0,0.0,2022-12-22,February 2022,Prince Edward Island,Employees paid by the hour
0.0,37318.0,6520.0,0.0,0.0,0.0,3123.0,3098.0,30798.0,8149.0,829.0,0.0,0.0,185.0,0.0,0.0,4248.0,0.0,0.0,0.0,4596.0,0.0,845.0,0.0,2022-12-22,March 2022,Prince Edward Island,Employees paid by the hour
0.0,39615.0,6865.0,0.0,0.0,0.0,3351.0,3242.0,32750.0,8633.0,0.0,0.0,400.0,0.0,885.0,0.0,4310.0,0.0,0.0,0.0,4967.0,0.0,917.0,0.0,2022-12-22,April 2022,Prince Edward Island,Employees paid by the hour
0.0,43026.0,8210.0,0.0,0.0,0.0,3657.0,4215.0,34816.0,9226.0,0.0,0.0,535.0,0.0,529.0,0.0,4506.0,0.0,0.0,0.0,6109.0,0.0,1010.0,0.0,2022-12-22,May 2022,Prince Edward Island,Employees paid by the hour
0.0,45436.0,9211.0,0.0,0.0,0.0,4094.0,4693.0,36225.0,8868.0,1617.0,0.0,298.0,0.0,790.0,0.0,3835.0,0.0,0.0,0.0,7412.0,0.0,800.0,0.0,2022-12-22,June 2022,Prince Edward Island,Employees paid by the hour
0.0,47563.0,9510.0,0.0,0.0,0.0,4480.0,4641.0,38053.0,9563.0,1636.0,0.0,342.0,0.0,892.0,0.0,3805.0,0.0,0.0,0.0,8123.0,0.0,823.0,0.0,2022-12-22,July 2022,Prince Edward Island,Employees paid by the hour
0.0,47068.0,9171.0,0.0,0.0,0.0,0.0,4113.0,37897.0,9376.0,1556.0,0.0,374.0,0.0,687.0,0.0,3652.0,0.0,0.0,0.0,8326.0,0.0,850.0,0.0,2022-12-22,August 2022,Prince Edward Island,Employees paid by the hour
0.0,45917.0,8819.0,0.0,0.0,0.0,0.0,4179.0,37097.0,9372.0,1553.0,0.0,345.0,0.0,0.0,0.0,3707.0,0.0,0.0,0.0,7901.0,0.0,668.0,0.0,2022-12-22,September 2022,Prince Edward Island,Employees paid by the hour
0.0,42098.0,8325.0,0.0,0.0,0.0,4130.0,3790.0,33773.0,9032.0,1476.0,0.0,333.0,0.0,600.0,0.0,3489.0,0.0,0.0,0.0,6332.0,0.0,481.0,0.0,2022-12-22,October 2022,Prince Edward Island,Employees paid by the hour
0.0,142080.0,11982.0,0.0,0.0,0.0,3176.0,7130.0,130098.0,15417.0,5448.0,3120.0,0.0,0.0,11162.0,0.0,3414.0,35860.0,6154.0,1085.0,0.0,3319.0,26515.0,0.0,2022-12-22,January 2022,Nova Scotia,Salaried employees paid a fixed salary
0.0,147542.0,12758.0,0.0,0.0,0.0,3038.0,6680.0,134784.0,16320.0,6073.0,0.0,0.0,0.0,11444.0,0.0,2935.0,38866.0,6102.0,1111.0,0.0,3685.0,27106.0,0.0,2022-12-22,February 2022,Nova Scotia,Salaried employees paid a fixed salary
0.0,149822.0,13006.0,0.0,0.0,0.0,3529.0,7621.0,136817.0,17411.0,5875.0,0.0,0.0,0.0,11216.0,0.0,3503.0,40310.0,5844.0,1085.0,1666.0,3454.0,26360.0,0.0,2022-12-22,March 2022,Nova Scotia,Salaried employees paid a fixed salary
0.0,152365.0,12133.0,0.0,0.0,0.0,3125.0,7127.0,140232.0,17223.0,5830.0,2659.0,0.0,0.0,13676.0,0.0,3580.0,39654.0,6382.0,1180.0,1451.0,3636.0,26731.0,0.0,2022-12-22,April 2022,Nova Scotia,Salaried employees paid a fixed salary
0.0,154803.0,13067.0,0.0,0.0,0.0,3612.0,7509.0,141736.0,15628.0,5823.0,2918.0,0.0,0.0,12083.0,0.0,3384.0,38679.0,10447.0,1447.0,1731.0,3988.0,28166.0,0.0,2022-12-22,May 2022,Nova Scotia,Salaried employees paid a fixed salary
0.0,161893.0,13782.0,0.0,0.0,0.0,3538.0,8205.0,148111.0,14836.0,5453.0,5139.0,0.0,0.0,13656.0,0.0,4119.0,39973.0,10117.0,1473.0,2318.0,4002.0,28560.0,0.0,2022-12-22,June 2022,Nova Scotia,Salaried employees paid a fixed salary
0.0,150858.0,14489.0,0.0,0.0,0.0,3677.0,8904.0,136369.0,16193.0,5865.0,2862.0,0.0,0.0,11675.0,0.0,4074.0,35138.0,5637.0,1496.0,2135.0,3632.0,28639.0,0.0,2022-12-22,July 2022,Nova Scotia,Salaried employees paid a fixed salary
0.0,143167.0,13187.0,0.0,0.0,0.0,3712.0,7687.0,129980.0,14024.0,5814.0,2771.0,0.0,0.0,12536.0,0.0,4200.0,31079.0,5609.0,1531.0,2148.0,0.0,28033.0,0.0,2022-12-22,August 2022,Nova Scotia,Salaried employees paid a fixed salary
0.0,150230.0,11850.0,0.0,0.0,0.0,3787.0,0.0,138380.0,14101.0,6145.0,3118.0,0.0,0.0,12750.0,0.0,3928.0,38270.0,5762.0,1471.0,1999.0,4016.0,28106.0,0.0,2022-12-22,September 2022,Nova Scotia,Salaried employees paid a fixed salary
0.0,153982.0,14196.0,0.0,0.0,0.0,4103.0,8312.0,139786.0,14425.0,5838.0,2929.0,0.0,0.0,12545.0,0.0,3824.0,40649.0,5520.0,1372.0,1878.0,3893.0,28958.0,0.0,2022-12-22,October 2022,Nova Scotia,Salaried employees paid a fixed salary
0.0,241452.0,42871.0,0.0,0.0,0.0,18128.0,22045.0,198581.0,54983.0,8898.0,4020.0,0.0,0.0,4685.0,0.0,13104.0,1069.0,61440.0,2580.0,0.0,7570.0,8412.0,0.0,2022-12-22,January 2022,Nova Scotia,Employees paid by the hour
0.0,240297.0,42947.0,0.0,0.0,0.0,18536.0,22761.0,197350.0,52665.0,8913.0,0.0,0.0,0.0,4590.0,0.0,13031.0,1117.0,62183.0,2842.0,0.0,6681.0,8448.0,0.0,2022-12-22,February 2022,Nova Scotia,Employees paid by the hour
0.0,243695.0,43148.0,0.0,0.0,0.0,18576.0,22126.0,200546.0,52076.0,9132.0,0.0,0.0,0.0,5118.0,0.0,12742.0,1047.0,63224.0,2994.0,26598.0,7195.0,9536.0,0.0,2022-12-22,March 2022,Nova Scotia,Employees paid by the hour
0.0,248047.0,45450.0,0.0,0.0,0.0,19743.0,23275.0,202598.0,53297.0,9756.0,4618.0,0.0,0.0,3611.0,0.0,13459.0,1191.0,62563.0,3203.0,28342.0,7254.0,9246.0,0.0,2022-12-22,April 2022,Nova Scotia,Employees paid by the hour
0.0,253531.0,48196.0,0.0,0.0,0.0,20897.0,24718.0,205335.0,55051.0,9790.0,4366.0,0.0,0.0,5227.0,0.0,14455.0,1200.0,58901.0,3498.0,30308.0,7187.0,8280.0,0.0,2022-12-22,May 2022,Nova Scotia,Employees paid by the hour
0.0,254355.0,49625.0,0.0,0.0,0.0,22523.0,24423.0,204730.0,55899.0,9369.0,2163.0,0.0,0.0,4711.0,0.0,13834.0,1263.0,58973.0,4082.0,32144.0,7361.0,8445.0,0.0,2022-12-22,June 2022,Nova Scotia,Employees paid by the hour
0.0,259092.0,49198.0,0.0,0.0,0.0,22991.0,23432.0,209894.0,53264.0,9167.0,3506.0,0.0,0.0,4797.0,0.0,13928.0,1388.0,62656.0,4803.0,33360.0,8274.0,8612.0,0.0,2022-12-22,July 2022,Nova Scotia,Employees paid by the hour
0.0,262217.0,50475.0,0.0,0.0,0.0,23168.0,24367.0,211742.0,53913.0,9378.0,4572.0,0.0,0.0,5069.0,0.0,13751.0,1274.0,62293.0,4801.0,33388.0,0.0,8729.0,0.0,2022-12-22,August 2022,Nova Scotia,Employees paid by the hour
0.0,260401.0,48369.0,0.0,0.0,0.0,23023.0,0.0,212032.0,54662.0,9317.0,4204.0,0.0,0.0,5206.0,0.0,14244.0,1467.0,62561.0,4682.0,33261.0,7855.0,8376.0,0.0,2022-12-22,September 2022,Nova Scotia,Employees paid by the hour
0.0,256772.0,47231.0,0.0,0.0,0.0,21774.0,22489.0,209542.0,54722.0,9326.0,4434.0,0.0,0.0,4943.0,0.0,13960.0,1336.0,62575.0,3980.0,32294.0,7307.0,8261.0,0.0,2022-12-22,October 2022,Nova Scotia,Employees paid by the hour
0.0,106859.0,10923.0,390.0,159.0,1887.0,2593.0,5894.0,95936.0,9556.0,5302.0,2559.0,0.0,0.0,7797.0,923.0,3725.0,19503.0,2710.0,0.0,1053.0,2419.0,25408.0,0.0,2022-12-22,January 2022,New Brunswick,Salaried employees paid a fixed salary
0.0,109801.0,11641.0,366.0,230.0,2229.0,2830.0,5986.0,98159.0,10465.0,5368.0,2758.0,0.0,0.0,8244.0,885.0,2564.0,21292.0,2766.0,0.0,940.0,2516.0,25681.0,0.0,2022-12-22,February 2022,New Brunswick,Salaried employees paid a fixed salary
